tomato,(t|o)-(m|a)-(t|o),15
kompilado,(k|o|m)-(p|i)-(l|a)-(d|o),15
genepoj,(g|e)-(n|e)-(p|o|j),15
ostendo,(∅|o|s)-(t|e|n)-(d|o),15
bruĝo,(br|u)-(ĝ|o),15
neesperantisto,(n|e)-(∅|e|s)-(p|e)-(r|a|n)-(t|i|s)-(t|o),15
balono,(b|a)-(l|o)-(n|o),15
nazaretano,(n|a)-(z|a)-(r|e)-(t|a)-(n|o),15
muzikaĵon,(m|u)-(z|i)-(k|a)-(ĵ|o|n),15
aztekoj,(∅|a|z)-(t|e)-(k|o|j),15
vermonto,(v|e|r)-(m|o|n)-(t|o),15
aromo,(∅|a)-(r|o)-(m|o),15
antaŭelekto,(∅|a|n)-(t|a|ŭ)-(∅|e)-(l|e|k)-(t|o),15
tekon,(t|e)-(k|o|n),15
mastrumistino,(m|a|s)-(tr|u)-(m|i|s)-(t|i)-(n|o),15
ĉas_hundo,(ĉ|a|s)-(h|u|n)-(d|o),15
bapton,(b|a|p)-(t|o|n),15
garantiulino,(g|a)-(r|a|n)-(t|i)-(∅|u)-(l|i)-(n|o),15
cirk_ludojn,(c|i|rk)-(l|u)-(d|o|jn),15
matildo,(m|a)-(t|i|l)-(d|o),15
blasano,(bl|a)-(s|a)-(n|o),15
ĉef_kapitano,(ĉ|e|f)-(k|a)-(p|i)-(t|a)-(n|o),15
valdemaro,(v|a|l)-(d|e)-(m|a)-(r|o),15
kruko,(kr|u)-(k|o),15
poŝt_markojn,(p|o|ŝt)-(m|a|r)-(k|o|jn),15
diskut_rondoj,(d|i|s)-(k|u|t)-(r|o|n)-(d|o|j),15
narciso,(n|a|r)-(c|i)-(s|o),15
bol_sonaro,(b|o|l)-(s|o)-(n|a)-(r|o),15
tatroj,(t|a|t)-(r|o|j),15
asizo,(∅|a)-(s|i)-(z|o),15
kilto,(k|i|l)-(t|o),15
mezeŭropo,(m|e)-(z|e|ŭ)-(r|o)-(p|o),15
pont_lingvo,(p|o|nt)-(l|i|n)-(gv|o),15
kovno,(k|o|v)-(n|o),15
kuponon,(k|u)-(p|o)-(n|o|n),15
lingvolanĉilo,(l|i|n)-(gv|o)-(l|a|n)-(ĉ|i)-(l|o),15
jehudo,(j|e)-(h|u)-(d|o),15
pres_keraroj,(pr|e|s)-(k|e)-(r|a)-(r|o|j),15
civiton,(c|i)-(v|i)-(t|o|n),15
sen_dependuloj,(s|e|n)-(d|e)-(p|e|n)-(d|u)-(l|o|j),15
mesio,(m|e)-(s|i)-(∅|o),15
gefianĉoj,(g|e)-(f|i)-(∅|a|n)-(ĉ|o|j),15
film_festivalo,(f|i|lm)-(f|e|s)-(t|i)-(v|a)-(l|o),15
nekrologo,(n|e|k)-(r|o)-(l|o)-(g|o),15
el_tiraĵo,(∅|e|l)-(t|i)-(r|a)-(ĵ|o),15
narkotaĵoj,(n|a|r)-(k|o)-(t|a)-(ĵ|o|j),15
kreanto,(kr|e)-(∅|a|n)-(t|o),15
sfinkso,(sf|i|n)-(ks|o),15
gastronomio,(g|a|s)-(tr|o)-(n|o)-(m|i)-(∅|o),15
pato,(p|a)-(t|o),15
prologo,(pr|o)-(l|o)-(g|o),15
speguleto,(sp|e)-(g|u)-(l|e)-(t|o),15
engelso,(∅|e|n)-(g|e|l)-(s|o),15
kristanajn,(kr|i|s)-(t|a)-(n|a|jn),15
mal_dolĉaj,(m|a|l)-(d|o|l)-(ĉ|a|j),15
ploranta,(pl|o)-(r|a|n)-(t|a),15
sen_nuba,(s|e|n)-(n|u)-(b|a),15
knabina,(kn|a)-(b|i)-(n|a),15
mal_vastaj,(m|a|l)-(v|a|s)-(t|a|j),15
mal_helpata,(m|a|l)-(h|e|l)-(p|a)-(t|a),15
vendreda,(v|e|n)-(dr|e)-(d|a),15
sen_ĝena,(s|e|n)-(ĝ|e)-(n|a),15
mal_bonega,(m|a|l)-(b|o)-(n|e)-(g|a),15
leganta,(l|e)-(g|a|n)-(t|a),15
kuraĝigaj,(k|u)-(r|a)-(ĝ|i)-(g|a|j),15
revenanta,(r|e)-(v|e)-(n|a|n)-(t|a),15
povra,(p|o|v)-(r|a),15
kvarona,(kv|a)-(r|o)-(n|a),15
laŭtemaj,(l|a|ŭ)-(t|e)-(m|a|j),15
kleran,(kl|e)-(r|a|n),15
unuanimaj,(∅|u)-(n|u)-(∅|a)-(n|i)-(m|a|j),15
islamisman,(∅|i|s)-(l|a)-(m|i|s)-(m|a|n),15
dotitaj,(d|o)-(t|i)-(t|a|j),15
neeviteblaj,(n|e)-(∅|e)-(v|i)-(t|e|b)-(l|a|j),15
tirita,(t|i)-(r|i)-(t|a),15
kategoria,(k|a)-(t|e)-(g|o)-(r|i)-(∅|a),15
netan,(n|e)-(t|a|n),15
konsekvencaj,(k|o|n)-(s|e|k)-(v|e|n)-(c|a|j),15
noriega,(n|o)-(r|i)-(∅|e)-(g|a),15
aŭdacan,(∅|a|ŭ)-(d|a)-(c|a|n),15
produktantaj,(pr|o)-(d|u|k)-(t|a|n)-(t|a|j),15
unuflankan,(∅|u)-(n|u|f)-(l|a|n)-(k|a|n),15
ul_traliberala,(∅|u|l)-(tr|a)-(l|i)-(b|e)-(r|a)-(l|a),15
konfuzan,(k|o|n)-(f|u)-(z|a|n),15
strukturitaj,(str|u|k)-(t|u)-(r|i)-(t|a|j),15
trans_lima,(tr|a|ns)-(l|i)-(m|a),15
generacia,(g|e)-(n|e)-(r|a)-(c|i)-(∅|a),15
proklamitaj,(pr|o|k)-(l|a)-(m|i)-(t|a|j),15
konforman,(k|o|n)-(f|o|r)-(m|a|n),15
kaŭzitajn,(k|a|ŭ)-(z|i)-(t|a|jn),15
kosmopolita,(k|o|s)-(m|o)-(p|o)-(l|i)-(t|a),15
minacaj,(m|i)-(n|a)-(c|a|j),15
ŝika,(ŝ|i)-(k|a),15
truditajn,(tr|u)-(d|i)-(t|a|jn),15
ekzekutitaj,(∅|e|k)-(z|e)-(k|u)-(t|i)-(t|a|j),15
distribuita,(d|i|s)-(tr|i)-(b|u)-(∅|i)-(t|a),15
pasivaj,(p|a)-(s|i)-(v|a|j),15
alka,(∅|a|l)-(k|a),15
nepagitaj,(n|e)-(p|a)-(g|i)-(t|a|j),15
interesita,(∅|i|n)-(t|e)-(r|e)-(s|i)-(t|a),15
restantajn,(r|e|s)-(t|a|n)-(t|a|jn),15
fervoran,(f|e|r)-(v|o)-(r|a|n),15
rivela,(r|i)-(v|e)-(l|a),15
koncentritaj,(k|o|n)-(c|e|n)-(tr|i)-(t|a|j),15
sovetajn,(s|o)-(v|e)-(t|a|jn),15
firmajn,(f|i|r)-(m|a|jn),15
rekompencita,(r|e)-(k|o|m)-(p|e|n)-(c|i)-(t|a),15
nov_konservativa,(n|o|v)-(k|o|n)-(s|e|r)-(v|a)-(t|i)-(v|a),15
librotena,(l|i|b)-(r|o)-(t|e)-(n|a),15
koncepta,(k|o|n)-(c|e|p)-(t|a),15
nutraĵaj,(n|u|t)-(r|a)-(ĵ|a|j),15
intelektajn,(∅|i|n)-(t|e)-(l|e|k)-(t|a|jn),15
larĝanima,(l|a|r)-(ĝ|a)-(n|i)-(m|a),15
aŭd_vidaj,(∅|a|ŭd)-(v|i)-(d|a|j),15
el_centa,(∅|e|l)-(c|e|n)-(t|a),15
sam_specaj,(s|a|m)-(sp|e)-(c|a|j),15
konvinkaj,(k|o|n)-(v|i|n)-(k|a|j),15
kaŭzataj,(k|a|ŭ)-(z|a)-(t|a|j),15
asocian,(∅|a)-(s|o)-(c|i)-(∅|a|n),15
tragikaj,(tr|a)-(g|i)-(k|a|j),15
avangardaj,(∅|a)-(v|a|n)-(g|a|r)-(d|a|j),15
nesufiĉaj,(n|e)-(s|u)-(f|i)-(ĉ|a|j),15
aĉan,(∅|a)-(ĉ|a|n),15
malegaleca,(m|a)-(l|e)-(g|a)-(l|e)-(c|a),15
militantaj,(m|i)-(l|i)-(t|a|n)-(t|a|j),15
mal_favorataj,(m|a|l)-(f|a)-(v|o)-(r|a)-(t|a|j),15
el_staranta,(∅|e|l)-(st|a)-(r|a|n)-(t|a),15
nobelaj,(n|o)-(b|e)-(l|a|j),15
unuecaj,(∅|u)-(n|u)-(∅|e)-(c|a|j),15
kaspia,(k|a|s)-(p|i)-(∅|a),15
utopian,(∅|u)-(t|o)-(p|i)-(∅|a|n),15
rasaj,(r|a)-(s|a|j),15
edukajn,(∅|e)-(d|u)-(k|a|jn),15
ekstremistaj,(∅|e|ks)-(tr|e)-(m|i|s)-(t|a|j),15
atentemaj,(∅|a)-(t|e|n)-(t|e)-(m|a|j),15
transiran,(tr|a|n)-(s|i)-(r|a|n),15
emociajn,(∅|e)-(m|o)-(c|i)-(∅|a|jn),15
psikan,(ps|i)-(k|a|n),15
daŭrigeblan,(d|a|ŭ)-(r|i)-(g|e|b)-(l|a|n),15
nord_korea,(n|o|rd)-(k|o)-(r|e)-(∅|a),15
centrisma,(c|e|n)-(tr|i|s)-(m|a),15
entreprenaj,(∅|e|n)-(tr|e|p)-(r|e)-(n|a|j),15
el_lasita,(∅|e|l)-(l|a)-(s|i)-(t|a),15
tipajn,(t|i)-(p|a|jn),15
dis_vastigitaj,(d|i|s)-(v|a|s)-(t|i)-(g|i)-(t|a|j),15
marĝenigitaj,(m|a|r)-(ĝ|e)-(n|i)-(g|i)-(t|a|j),15
mal_bon_ŝanca,(m|a|l)-(b|o|n)-(ŝ|a|n)-(c|a),15
interamerika,(∅|i|n)-(t|e)-(r|a)-(m|e)-(r|i)-(k|a),15
planitan,(pl|a)-(n|i)-(t|a|n),15
genetikaj,(g|e)-(n|e)-(t|i)-(k|a|j),15
permesitaj,(p|e|r)-(m|e)-(s|i)-(t|a|j),15
ses_dek_jara,(s|e|s)-(d|e|k)-(j|a)-(r|a),15
trista,(tr|i|s)-(t|a),15
promesinta,(pr|o)-(m|e)-(s|i|n)-(t|a),15
nafta,(n|a|f)-(t|a),15
sub_premaj,(s|u|b)-(pr|e)-(m|a|j),15
originaj,(∅|o)-(r|i)-(g|i)-(n|a|j),15
balotan,(b|a)-(l|o)-(t|a|n),15
kuraĝigita,(k|u)-(r|a)-(ĝ|i)-(g|i)-(t|a),15
uzitan,(∅|u)-(z|i)-(t|a|n),15
bon_havaj,(b|o|n)-(h|a)-(v|a|j),15
improvizita,(∅|i|m)-(pr|o)-(v|i)-(z|i)-(t|a),15
prioritataj,(pr|i)-(∅|o)-(r|i)-(t|a)-(t|a|j),15
konfidenca,(k|o|n)-(f|i)-(d|e|n)-(c|a),15
emociaj,(∅|e)-(m|o)-(c|i)-(∅|a|j),15
videblajn,(v|i)-(d|e|b)-(l|a|jn),15
dis_vastiĝintaj,(d|i|s)-(v|a|s)-(t|i)-(ĝ|i|n)-(t|a|j),15
sen_pacienca,(s|e|n)-(p|a)-(c|i)-(∅|e|n)-(c|a),15
inter_ligitaj,(∅|i|n)-(t|e|r)-(l|i)-(g|i)-(t|a|j),15
krudajn,(kr|u)-(d|a|jn),15
minacantaj,(m|i)-(n|a)-(c|a|n)-(t|a|j),15
poluritaj,(p|o)-(l|u)-(r|i)-(t|a|j),15
unuflankaj,(∅|u)-(n|u|f)-(l|a|n)-(k|a|j),15
miksitajn,(m|i|k)-(s|i)-(t|a|jn),15
ajnaj,(∅|a|j)-(n|a|j),15
travivitaj,(tr|a)-(v|i)-(v|i)-(t|a|j),15
militanta,(m|i)-(l|i)-(t|a|n)-(t|a),15
en_prizonigita,(∅|e|n)-(pr|i)-(z|o)-(n|i)-(g|i)-(t|a),15
rumanaj,(r|u)-(m|a)-(n|a|j),15
bengala,(b|e|n)-(g|a)-(l|a),15
instinkta,(∅|i|n)-(st|i|n)-(kt|a),15
specialigita,(sp|e)-(c|i)-(∅|a)-(l|i)-(g|i)-(t|a),15
ebur_bordaj,(∅|e)-(b|u|r)-(b|o|r)-(d|a|j),15
karitataj,(k|a)-(r|i)-(t|a)-(t|a|j),15
pagota,(p|a)-(g|o)-(t|a),15
aŭtentikaj,(∅|a|ŭ)-(t|e|n)-(t|i)-(k|a|j),15
sen_pripensa,(s|e|n)-(pr|i)-(p|e|n)-(s|a),15
dokumentaj,(d|o)-(k|u)-(m|e|n)-(t|a|j),15
diligentaj,(d|i)-(l|i)-(g|e|n)-(t|a|j),15
abomenata,(∅|a)-(b|o)-(m|e)-(n|a)-(t|a),15
heroaj,(h|e)-(r|o)-(∅|a|j),15
solvebla,(s|o|l)-(v|e|b)-(l|a),15
sen_mortaj,(s|e|n)-(m|o|r)-(t|a|j),15
bonodoran,(b|o)-(n|o)-(d|o)-(r|a|n),15
celitan,(c|e)-(l|i)-(t|a|n),15
patran,(p|a|t)-(r|a|n),15
mem_komprenebla,(m|e|m)-(k|o|m)-(pr|e)-(n|e|b)-(l|a),15
tempaj,(t|e|m)-(p|a|j),15
neregebla,(n|e)-(r|e)-(g|e|b)-(l|a),15
ekzempla,(∅|e|k)-(z|e|m)-(pl|a),15
kap_turna,(k|a|p)-(t|u|r)-(n|a),15
bonodora,(b|o)-(n|o)-(d|o)-(r|a),15
humida,(h|u)-(m|i)-(d|a),15
mal_piaj,(m|a|l)-(p|i)-(∅|a|j),15
perdanta,(p|e|r)-(d|a|n)-(t|a),15
bankan,(b|a|n)-(k|a|n),15
petola,(p|e)-(t|o)-(l|a),15
ŝirmita,(ŝ|i|r)-(m|i)-(t|a),15
hotela,(h|o)-(t|e)-(l|a),15
bibliaj,(b|i|b)-(l|i)-(∅|a|j),15
scivolema,(sc|i)-(v|o)-(l|e)-(m|a),15
ĉambra,(ĉ|a|m)-(br|a),15
daŭranta,(d|a|ŭ)-(r|a|n)-(t|a),15
portugalaj,(p|o|r)-(t|u)-(g|a)-(l|a|j),15
sub_tenita,(s|u|b)-(t|e)-(n|i)-(t|a),15
kameruna,(k|a)-(m|e)-(r|u)-(n|a),15
plantitaj,(pl|a|n)-(t|i)-(t|a|j),15
korespondan,(k|o)-(r|e|s)-(p|o|n)-(d|a|n),15
normaj,(n|o|r)-(m|a|j),15
et_skala,(∅|e|t)-(sk|a)-(l|a),15
absorbita,(∅|a|b)-(s|o|r)-(b|i)-(t|a),15
kvar_jara,(kv|a|r)-(j|a)-(r|a),15
blankula,(bl|a|n)-(k|u)-(l|a),15
rajoelina,(r|a)-(j|o)-(∅|e)-(l|i)-(n|a),15
nerimarkita,(n|e)-(r|i)-(m|a|r)-(k|i)-(t|a),15
nelonga,(n|e)-(l|o|n)-(g|a),15
montaraj,(m|o|n)-(t|a)-(r|a|j),15
metalaj,(m|e)-(t|a)-(l|a|j),15
paciga,(p|a)-(c|i)-(g|a),15
vizitataj,(v|i)-(z|i)-(t|a)-(t|a|j),15
mana,(m|a)-(n|a),15
variajn,(v|a)-(r|i)-(∅|a|jn),15
kontanta,(k|o|n)-(t|a|n)-(t|a),15
mal_trankviligan,(m|a|l)-(tr|a|n)-(kv|i)-(l|i)-(g|a|n),15
kolorajn,(k|o)-(l|o)-(r|a|jn),15
mez_lerneja,(m|e|z)-(l|e|r)-(n|e)-(j|a),15
triviala,(tr|i)-(v|i)-(∅|a)-(l|a),15
en_landan,(∅|e|n)-(l|a|n)-(d|a|n),15
liganta,(l|i)-(g|a|n)-(t|a),15
fermitajn,(f|e|r)-(m|i)-(t|a|jn),15
fiksaj,(f|i|k)-(s|a|j),15
fiŝ_kaptaj,(f|i|ŝ)-(k|a|p)-(t|a|j),15
piajn,(p|i)-(∅|a|jn),15
atentindaj,(∅|a)-(t|e|n)-(t|i|n)-(d|a|j),15
ardantan,(∅|a|r)-(d|a|n)-(t|a|n),15
ebligantaj,(∅|e|b)-(l|i)-(g|a|n)-(t|a|j),15
mutualaj,(m|u)-(t|u)-(∅|a)-(l|a|j),15
inter_milita,(∅|i|n)-(t|e|r)-(m|i)-(l|i)-(t|a),15
elektataj,(∅|e)-(l|e|k)-(t|a)-(t|a|j),15
bon_vola,(b|o|n)-(v|o)-(l|a),15
utiligataj,(∅|u)-(t|i)-(l|i)-(g|a)-(t|a|j),15
normalajn,(n|o|r)-(m|a)-(l|a|jn),15
konkluda,(k|o|n)-(kl|u)-(d|a),15
ŝijaista,(ŝ|i)-(j|a)-(∅|i|s)-(t|a),15
helpan,(h|e|l)-(p|a|n),15
hejman,(h|e|j)-(m|a|n),15
malakceptita,(m|a)-(l|a|k)-(c|e|p)-(t|i)-(t|a),15
malobeemaj,(m|a)-(l|o)-(b|e)-(∅|e)-(m|a|j),15
siberiaj,(s|i)-(b|e)-(r|i)-(∅|a|j),15
ludanta,(l|u)-(d|a|n)-(t|a),15
kompaktaj,(k|o|m)-(p|a|k)-(t|a|j),15
kadra,(k|a|d)-(r|a),15
dis_batita,(d|i|s)-(b|a)-(t|i)-(t|a),15
mortan,(m|o|r)-(t|a|n),15
kolerema,(k|o)-(l|e)-(r|e)-(m|a),15
baldaŭan,(b|a|l)-(d|a|ŭ)-(∅|a|n),15
sanskrita,(s|a|ns)-(kr|i)-(t|a),15
inan,(∅|i)-(n|a|n),15
rimarkeblaj,(r|i)-(m|a|r)-(k|e|b)-(l|a|j),15
el_diritaj,(∅|e|l)-(d|i)-(r|i)-(t|a|j),15
negrava,(n|e|g)-(r|a)-(v|a),15
soldataj,(s|o|l)-(d|a)-(t|a|j),15
venenita,(v|e)-(n|e)-(n|i)-(t|a),15
regna,(r|e|g)-(n|a),15
preferinta,(pr|e)-(f|e)-(r|i|n)-(t|a),15
grandanima,(gr|a|n)-(d|a)-(n|i)-(m|a),15
en_tombigita,(∅|e|n)-(t|o|m)-(b|i)-(g|i)-(t|a),15
kovritajn,(k|o|v)-(r|i)-(t|a|jn),15
pastraj,(p|a|s)-(tr|a|j),15
el_provita,(∅|e|l)-(pr|o)-(v|i)-(t|a),15
velkinta,(v|e|l)-(k|i|n)-(t|a),15
doloraj,(d|o)-(l|o)-(r|a|j),15
superstiĉa,(s|u)-(p|e|r)-(st|i)-(ĉ|a),15
diafana,(d|i)-(∅|a)-(f|a)-(n|a),15
respondaj,(r|e|s)-(p|o|n)-(d|a|j),15
ekzotika,(∅|e|k)-(z|o)-(t|i)-(k|a),15
edziniĝinta,(∅|e|d)-(z|i)-(n|i)-(ĝ|i|n)-(t|a),15
volvita,(v|o|l)-(v|i)-(t|a),15
kvar_dek_jara,(kv|a|r)-(d|e|k)-(j|a)-(r|a),15
melodia,(m|e)-(l|o)-(d|i)-(∅|a),15
aglutina,(∅|a|g)-(l|u)-(t|i)-(n|a),15
astrologia,(∅|a|s)-(tr|o)-(l|o)-(g|i)-(∅|a),15
nepagipovaj,(n|e)-(p|a)-(g|i)-(p|o)-(v|a|j),15
interesataj,(∅|i|n)-(t|e)-(r|e)-(s|a)-(t|a|j),15
aŭtobiografia,(∅|a|ŭ)-(t|o)-(b|i)-(∅|o|g)-(r|a)-(f|i)-(∅|a),15
oficejan,(∅|o)-(f|i)-(c|e)-(j|a|n),15
parolatan,(p|a)-(r|o)-(l|a)-(t|a|n),15
celsiaj,(c|e|l)-(s|i)-(∅|a|j),15
gaelaj,(g|a)-(∅|e)-(l|a|j),15
ekskursa,(∅|e|k)-(sk|u|r)-(s|a),15
abonebla,(∅|a)-(b|o)-(n|e|b)-(l|a),15
soplica,(s|o|p)-(l|i)-(c|a),15
lidia,(l|i)-(d|i)-(∅|a),15
grand_formata,(gr|a|nd)-(f|o|r)-(m|a)-(t|a),15
unuakta,(∅|u)-(n|u)-(∅|a|k)-(t|a),15
post_kongresa,(p|o|st)-(k|o|n)-(gr|e)-(s|a),15
kar_punina,(k|a|r)-(p|u)-(n|i)-(n|a),15
dorna,(d|o|r)-(n|a),15
nov_tipa,(n|o|v)-(t|i)-(p|a),15
profeta,(pr|o)-(f|e)-(t|a),15
biografia,(b|i)-(∅|o|g)-(r|a)-(f|i)-(∅|a),15
finn_landa,(f|i|nn)-(l|a|n)-(d|a),15
doktora,(d|o|k)-(t|o)-(r|a),15
moravia,(m|o)-(r|a)-(v|i)-(∅|a),15
oceania,(∅|o)-(c|e)-(∅|a)-(n|i)-(∅|a),15
berbera,(b|e|r)-(b|e)-(r|a),15
krist_naskan,(kr|i|st)-(n|a|s)-(k|a|n),15
himalaja,(h|i)-(m|a)-(l|a)-(j|a),15
kunordiga,(k|u)-(n|o|r)-(d|i)-(g|a),15
zelanda,(z|e)-(l|a|n)-(d|a),15
val_ĉefa,(v|a|l)-(ĉ|e)-(f|a),15
daŭrigota,(d|a|ŭ)-(r|i)-(g|o)-(t|a),15
kebekia,(k|e)-(b|e)-(k|i)-(∅|a),15
hongkonga,(h|o|n)-(gk|o|n)-(g|a),15
sicilia,(s|i)-(c|i)-(l|i)-(∅|a),15
rivera,(r|i)-(v|e)-(r|a),15
enciklopedia,(∅|e|n)-(c|i|k)-(l|o)-(p|e)-(d|i)-(∅|a),15
kroatia,(kr|o)-(∅|a)-(t|i)-(∅|a),15
spiritisma,(sp|i)-(r|i)-(t|i|s)-(m|a),15
plenumadis,(pl|e)-(n|u)-(m|a)-(d|i|s),15
observadis,(∅|o|b)-(s|e|r)-(v|a)-(d|i|s),15
batadis,(b|a)-(t|a)-(d|i|s),15
speguliĝis,(sp|e)-(g|u)-(l|i)-(ĝ|i|s),15
emociiĝis,(∅|e)-(m|o)-(c|i)-(∅|i)-(ĝ|i|s),15
preter_lasi,(pr|e)-(t|e|r)-(l|a)-(s|i),15
en_fermis,(∅|e|n)-(f|e|r)-(m|i|s),15
el_ĉerpiĝas,(∅|e|l)-(ĉ|e|r)-(p|i)-(ĝ|a|s),15
konjektas,(k|o|n)-(j|e|k)-(t|a|s),15
pentos,(p|e|n)-(t|o|s),15
puŝiĝis,(p|u)-(ŝ|i)-(ĝ|i|s),15
deklaru,(d|e|k)-(l|a)-(r|u),15
al_rigardis,(∅|a|l)-(r|i)-(g|a|r)-(d|i|s),15
detenas,(d|e)-(t|e)-(n|a|s),15
embarasis,(∅|e|m)-(b|a)-(r|a)-(s|i|s),15
reporti,(r|e)-(p|o|r)-(t|i),15
traveturis,(tr|a)-(v|e)-(t|u)-(r|i|s),15
petus,(p|e)-(t|u|s),15
refalis,(r|e)-(f|a)-(l|i|s),15
bazis,(b|a)-(z|i|s),15
reprezentos,(r|e|p)-(r|e)-(z|e|n)-(t|o|s),15
hariri,(h|a)-(r|i)-(r|i),15
atingeblas,(∅|a)-(t|i|n)-(g|e|b)-(l|a|s),15
pligravigas,(pl|i|g)-(r|a)-(v|i)-(g|a|s),15
mal_respektas,(m|a|l)-(r|e|s)-(p|e|k)-(t|a|s),15
difektis,(d|i)-(f|e|k)-(t|i|s),15
malaperus,(m|a)-(l|a)-(p|e)-(r|u|s),15
kontraŭus,(k|o|n)-(tr|a|ŭ)-(∅|u|s),15
malinstigi,(m|a)-(l|i|n)-(st|i)-(g|i),15
implikiĝi,(∅|i|m)-(pl|i)-(k|i)-(ĝ|i),15
dedukti,(d|e)-(d|u|k)-(t|i),15
sanktigi,(s|a|n)-(kt|i)-(g|i),15
mal_pliigis,(m|a|l)-(pl|i)-(∅|i)-(g|i|s),15
plenumiĝas,(pl|e)-(n|u)-(m|i)-(ĝ|a|s),15
implicus,(∅|i|m)-(pl|i)-(c|u|s),15
evidentigi,(∅|e)-(v|i)-(d|e|n)-(t|i)-(g|i),15
konvertiĝis,(k|o|n)-(v|e|r)-(t|i)-(ĝ|i|s),15
inspiriĝi,(∅|i|n)-(sp|i)-(r|i)-(ĝ|i),15
en_poŝigas,(∅|e|n)-(p|o)-(ŝ|i)-(g|a|s),15
rediras,(r|e)-(d|i)-(r|a|s),15
trans_prenos,(tr|a|ns)-(pr|e)-(n|o|s),15
kontribuu,(k|o|n)-(tr|i)-(b|u)-(∅|u),15
misuzas,(m|i)-(s|u)-(z|a|s),15
mal_boniĝas,(m|a|l)-(b|o)-(n|i)-(ĝ|a|s),15
estingas,(∅|e|s)-(t|i|n)-(g|a|s),15
resaniĝi,(r|e)-(s|a)-(n|i)-(ĝ|i),15
taskas,(t|a|s)-(k|a|s),15
telefonas,(t|e)-(l|e)-(f|o)-(n|a|s),15
mal_konstrui,(m|a|l)-(k|o|ns)-(tr|u)-(∅|i),15
minacos,(m|i)-(n|a)-(c|o|s),15
liberiĝas,(l|i)-(b|e)-(r|i)-(ĝ|a|s),15
gliti,(gl|i)-(t|i),15
spiti,(sp|i)-(t|i),15
rekruti,(r|e|k)-(r|u)-(t|i),15
adaptiĝis,(∅|a)-(d|a|p)-(t|i)-(ĝ|i|s),15
atencas,(∅|a)-(t|e|n)-(c|a|s),15
novi,(n|o)-(v|i),15
kun_trenas,(k|u|n)-(tr|e)-(n|a|s),15
motivis,(m|o)-(t|i)-(v|i|s),15
mal_liberigi,(m|a|l)-(l|i)-(b|e)-(r|i)-(g|i),15
prepariĝi,(pr|e)-(p|a)-(r|i)-(ĝ|i),15
bombi,(b|o|m)-(b|i),15
pravigos,(pr|a)-(v|i)-(g|o|s),15
kombinis,(k|o|m)-(b|i)-(n|i|s),15
premiis,(pr|e)-(m|i)-(∅|i|s),15
meriti,(m|e)-(r|i)-(t|i),15
resendis,(r|e)-(s|e|n)-(d|i|s),15
asimilas,(∅|a)-(s|i)-(m|i)-(l|a|s),15
fascinas,(f|a|s)-(c|i)-(n|a|s),15
asignas,(∅|a)-(s|i|g)-(n|a|s),15
invitu,(∅|i|n)-(v|i)-(t|u),15
eksperimenti,(∅|e|k)-(sp|e)-(r|i)-(m|e|n)-(t|i),15
luas,(l|u)-(∅|a|s),15
ĝis_datigi,(ĝ|i|s)-(d|a)-(t|i)-(g|i),15
mal_laŭdi,(m|a|l)-(l|a|ŭ)-(d|i),15
vojaĝu,(v|o)-(j|a)-(ĝ|u),15
pied_premis,(p|i)-(∅|e|d)-(pr|e)-(m|i|s),15
eksportis,(∅|e|k)-(sp|o|r)-(t|i|s),15
mal_ŝati,(m|a|l)-(ŝ|a)-(t|i),15
proksimigas,(pr|o|k)-(s|i)-(m|i)-(g|a|s),15
persekutu,(p|e|r)-(s|e)-(k|u)-(t|u),15
konsiliĝi,(k|o|n)-(s|i)-(l|i)-(ĝ|i),15
solvus,(s|o|l)-(v|u|s),15
ŝanceliĝi,(ŝ|a|n)-(c|e)-(l|i)-(ĝ|i),15
trompu,(tr|o|m)-(p|u),15
vidigi,(v|i)-(d|i)-(g|i),15
trakuras,(tr|a)-(k|u)-(r|a|s),15
harmonias,(h|a|r)-(m|o)-(n|i)-(∅|a|s),15
kosti,(k|o|s)-(t|i),15
preteratenti,(pr|e)-(t|e)-(r|a)-(t|e|n)-(t|i),15
asocii,(∅|a)-(s|o)-(c|i)-(∅|i),15
influos,(∅|i|n)-(fl|u)-(∅|o|s),15
mal_konsentas,(m|a|l)-(k|o|n)-(s|e|n)-(t|a|s),15
signifos,(s|i|g)-(n|i)-(f|o|s),15
kombiniĝas,(k|o|m)-(b|i)-(n|i)-(ĝ|a|s),15
feriis,(f|e)-(r|i)-(∅|i|s),15
dependus,(d|e)-(p|e|n)-(d|u|s),15
nutru,(n|u|t)-(r|u),15
flati,(fl|a)-(t|i),15
konsumos,(k|o|n)-(s|u)-(m|o|s),15
antaŭen_puŝi,(∅|a|n)-(t|a|ŭ)-(∅|e|n)-(p|u)-(ŝ|i),15
resanigi,(r|e)-(s|a)-(n|i)-(g|i),15
akordiĝi,(∅|a)-(k|o|r)-(d|i)-(ĝ|i),15
monti,(m|o|n)-(t|i),15
al_donus,(∅|a|l)-(d|o)-(n|u|s),15
plantas,(pl|a|n)-(t|a|s),15
okul_frapas,(∅|o)-(k|u|l)-(fr|a)-(p|a|s),15
poziciiĝas,(p|o)-(z|i)-(c|i)-(∅|i)-(ĝ|a|s),15
reĝisoris,(r|e)-(ĝ|i)-(s|o)-(r|i|s),15
rekompencos,(r|e)-(k|o|m)-(p|e|n)-(c|o|s),15
